title,date,category
A Survey On Neural Word Embeddings,2021-10-05 03:37:57+00:00,cs.CL
Feature embedding in click-through rate prediction,2022-09-20 05:48:30+00:00,cs.LG
Ideally embedded space-times,2003-08-21 11:48:53+00:00,gr-qc
Projective embeddings of homogeneous spaces with small boundary,2008-01-13 16:23:07+00:00,math.AG
The excluded minor structure theorem with planarly embedded wall,2009-09-23 21:53:57+00:00,math.CO
Quantum Geometry and Wild embeddings as quantum states,2012-11-13 14:59:34+00:00,gr-qc
On embeddings of Grassmann graphs in polar Grassmann graphs,2015-03-13 16:57:09+00:00,math.CO
A solution to the reversible embedding problem for finite Markov chains,2016-05-11 16:32:10+00:00,math.PR
Embedding Projector: Interactive Visualization and Interpretation of Embeddings,2016-11-16 21:21:11+00:00,stat.ML
On the Equivalence of Holographic and Complex Embeddings for Link Prediction,2017-02-18 03:38:12+00:00,cs.LG
Fast Nearest Neighbor Preserving Embeddings,2017-07-21 12:34:49+00:00,cs.DS
Better Word Embeddings by Disentangling Contextual n-Gram Information,2019-04-10 07:44:06+00:00,cs.CL
Evaluating the Underlying Gender Bias in Contextualized Word Embeddings,2019-04-18 13:47:00+00:00,cs.CL
Accessible points of planar embeddings of tent inverse limit spaces,2017-10-31 14:48:06+00:00,math.DS
Exploration on Grounded Word Embedding: Matching Words and Images with Image-Enhanced Skip-Gram Model,2018-09-08 06:43:01+00:00,cs.CL
Embedding the Complete Expansion Graph in Books,2020-03-29 01:57:48+00:00,math.CO
SEMIE: SEMantically Infused Embeddings with Enhanced Interpretability for Domain-specific Small Corpus,2021-03-21 16:28:08+00:00,cs.CL
An Impossibility Theorem for Node Embedding,2021-05-27 15:48:41+00:00,cs.LG
Nonabelian embedding tensors,2022-04-06 05:12:27+00:00,math.RA
"Embedded Systems Education in the 2020s: Challenges, Reflections, and Future Directions",2022-05-17 03:19:57+00:00,cs.CY
Revisiting Embeddings for Graph Neural Networks,2022-09-19 20:37:55+00:00,cs.LG
Full-Network Embedding in a Multimodal Embedding Pipeline,2017-07-24 10:27:33+00:00,cs.CV
ETNLP: a visual-aided systematic approach to select pre-trained embeddings for a downstream task,2019-03-11 16:48:25+00:00,cs.CL
Res-embedding for Deep Learning Based Click-Through Rate Prediction Modeling,2019-06-25 03:13:43+00:00,stat.ML
Lossless Prioritized Embeddings,2019-07-16 13:29:02+00:00,cs.DS
Lower Memory Oblivious (Tensor) Subspace Embeddings with Fewer Random Bits: Modewise Methods for Least Squares,2019-12-17 22:18:29+00:00,math.NA
"Minor-embedding heuristics for large-scale annealing processors with sparse hardware graphs of up to 102,400 nodes",2020-04-08 05:30:43+00:00,quant-ph
Adversarial Context Aware Network Embeddings for Textual Networks,2020-11-05 05:20:01+00:00,cs.CL
Learning to Warm Up Cold Item Embeddings for Cold-start Recommendation with Meta Scaling and Shifting Networks,2021-05-11 05:22:06+00:00,cs.IR
Kronecker Decomposition for Knowledge Graph Embeddings,2022-05-13 11:11:03+00:00,cs.LG
DAS: Densely-Anchored Sampling for Deep Metric Learning,2022-07-30 02:07:46+00:00,cs.CV
Sinhala Sentence Embedding: A Two-Tiered Structure for Low-Resource Languages,2022-10-26 04:46:23+00:00,cs.CL
4-clique network minor embedding for quantum annealers,2023-01-20 21:26:17+00:00,quant-ph
Multi-Embedding of Metric Spaces,2004-08-02 16:42:43+00:00,cs.DS
Integrated Design and Implementation of Embedded Control Systems with Scilab,2008-09-29 10:06:09+00:00,cs.OH
Orientable embeddings and orientable cycle double covers of projective-planar graphs,2009-11-13 22:02:54+00:00,math.CO
Embedded Markov chain approximations in Skorokhod topologies,2014-09-16 14:36:56+00:00,math.PR
Variation of the local topological structure of graph embeddings,2015-03-04 23:28:40+00:00,math.CO
dynnode2vec: Scalable Dynamic Network Embedding,2018-12-06 05:30:02+00:00,cs.LG
A Literature Study of Embeddings on Source Code,2019-04-05 13:37:42+00:00,cs.LG
The Secret Lives of Names? Name Embeddings from Social Media,2019-05-12 22:20:44+00:00,cs.SI
DANE: Domain Adaptive Network Embedding,2019-06-03 10:11:15+00:00,cs.LG
Probing for Semantic Classes: Diagnosing the Meaning Content of Word Embeddings,2019-06-09 09:45:24+00:00,cs.CL
Deep Distributional Sequence Embeddings Based on a Wasserstein Loss,2019-12-04 12:43:28+00:00,cs.LG
Compositional Embeddings for Multi-Label One-Shot Learning,2020-02-11 03:54:30+00:00,cs.LG
Learning Semantic Representations for Novel Words: Leveraging Both Form and Context,2018-11-09 11:44:05+00:00,cs.CL
FAME: Feature-Based Adversarial Meta-Embeddings for Robust Input Representations,2020-10-23 11:16:53+00:00,cs.CL
Learning Efficient Task-Specific Meta-Embeddings with Word Prisms,2020-11-05 16:08:50+00:00,cs.CL
Curvature Regularization to Prevent Distortion in Graph Embedding,2020-11-28 20:16:24+00:00,cs.LG
On Geodesic Distances and Contextual Embedding Compression for Text Classification,2021-04-22 19:30:06+00:00,cs.LG
Comparing Euclidean and Hyperbolic Embeddings on the WordNet Nouns Hypernymy Graph,2021-09-15 18:00:05+00:00,cs.CL
Learning Sense-Specific Static Embeddings using Contextualised Word Embeddings as a Proxy,2021-10-05 17:50:48+00:00,cs.CL
SocialVec: Social Entity Embeddings,2021-11-05 14:13:01+00:00,cs.SI
Nontrivial isometric embeddings for flat spaces,2021-11-07 22:02:10+00:00,gr-qc
A Multi-purposed Unsupervised Framework for Comparing Embeddings of Undirected and Directed Graphs,2021-11-30 20:20:30+00:00,cs.SI
HET: Scaling out Huge Embedding Model Training via Cache-enabled Distributed Framework,2021-12-14 08:18:10+00:00,cs.LG
Evaluating the Construct Validity of Text Embeddings with Application to Survey Questions,2022-02-18 12:35:46+00:00,cs.CY
From meaning to perception -- exploring the space between word and odor perception embeddings,2022-03-19 10:44:20+00:00,cs.CL
VGSE: Visually-Grounded Semantic Embeddings for Zero-Shot Learning,2022-03-20 03:49:02+00:00,cs.CV
TransDrift: Modeling Word-Embedding Drift using Transformer,2022-06-16 10:48:26+00:00,cs.CL
Field-wise Embedding Size Search via Structural Hard Auxiliary Mask Pruning for Click-Through Rate Prediction,2022-08-17 00:56:56+00:00,cs.IR
MTEB: Massive Text Embedding Benchmark,2022-10-13 19:42:08+00:00,cs.CL
Quantitative Evidence on Overlooked Aspects of Enrollment Speaker Embeddings for Target Speaker Separation,2022-10-23 07:08:46+00:00,cs.SD
MorphTE: Injecting Morphology in Tensorized Embeddings,2022-10-27 12:43:28+00:00,cs.CL
Exploring the Semantic Content of Unsupervised Graph Embeddings: An Empirical Study,2018-06-19 21:06:32+00:00,cs.LG
EmbeddingVis: A Visual Analytics Approach to Comparative Network Embedding Inspection,2018-08-28 00:48:52+00:00,cs.HC
MILE: A Multi-Level Framework for Scalable Graph Embedding,2018-02-26 21:18:43+00:00,cs.AI
Stable Tuple Embeddings for Dynamic Databases,2021-03-11 16:23:03+00:00,cs.DB
An Optimal Skorokhod Embedding for Diffusions,2002-12-12 16:37:30+00:00,math.PR
On tame embeddings of solenoids into 3-space,2006-11-29 08:22:26+00:00,math.GT
Quantum Thetas on Noncommutative T^d with General Embeddings,2007-09-16 10:55:14+00:00,math-ph
On the Robustness of the Delay-Based Fingerprint Embedding Scheme,2008-01-04 03:15:56+00:00,cs.MM
Embeddings of k-connected n-manifolds into R^{2n-k-1},2008-12-01 10:52:39+00:00,math.GT
Performance Metrics Analysis of Torus Embedded Hypercube Interconnection Network,2009-12-11 18:06:43+00:00,cs.NI
Fully Localized Two-dimensional Embedded Solitons,2010-10-27 21:34:16+00:00,nlin.PS
Classification of nonorientable regular embeddings of Hamming graphs,2011-07-16 00:33:48+00:00,math.CO
AdS spacetimes and isometric embeddings,2013-02-07 14:37:51+00:00,gr-qc
On positive embeddings of C(K) spaces,2013-02-18 17:23:37+00:00,math.FA
Isometric embeddings via heat kernel,2013-05-24 04:41:40+00:00,math.DG
Deep Learning Embeddings for Discontinuous Linguistic Units,2013-12-18 13:34:16+00:00,cs.CL
AutoExtend: Extending Word Embeddings to Embeddings for Synsets and Lexemes,2015-07-04 16:59:30+00:00,cs.CL
Embedding of Hypercube into Cylinder,2015-11-25 01:41:08+00:00,cs.GR
On the Convergent Properties of Word Embedding Methods,2016-05-12 19:59:43+00:00,cs.CL
Query Expansion with Locally-Trained Word Embeddings,2016-05-25 14:09:00+00:00,cs.IR
Learning Word Sense Embeddings from Word Sense Definitions,2016-06-15 16:14:09+00:00,cs.CL
Toward Word Embedding for Personalized Information Retrieval,2016-06-22 15:53:29+00:00,cs.IR
Word Embeddings and Their Use In Sentence Classification Tasks,2016-10-26 08:48:10+00:00,cs.LG
Face distributions of embeddings of complete graphs,2017-08-07 12:34:51+00:00,math.CO
An equivalence between pseudo-holomorphic embeddings into almost-complex Euclidean space and CR regular embeddings into complex space,2018-04-21 11:14:09+00:00,math.DG
A Simple Regularization-based Algorithm for Learning Cross-Domain Word Embeddings,2019-02-01 05:02:59+00:00,cs.CL
Deconstructing Word Embeddings,2019-01-08 06:44:40+00:00,cs.CL
Hydra: A method for strain-minimizing hyperbolic embedding of network- and distance-based data,2019-03-21 13:16:01+00:00,stat.CO
Pitfalls in the Evaluation of Sentence Embeddings,2019-06-04 16:41:15+00:00,cs.CL
Emu: Enhancing Multilingual Sentence Embeddings with Semantic Specialization,2019-09-15 04:31:21+00:00,cs.CL
How Can BERT Help Lexical Semantics Tasks?,2019-11-07 14:23:05+00:00,cs.CL
Tangent cones of Lipschitz normally embedded sets are Lipschitz normally embedded. Appendix by Anne Pichon and Walter D. Neumann,2017-04-28 18:59:22+00:00,math.AG
Node Centralities and Classification Performance for Characterizing Node Embedding Algorithms,2018-02-18 13:03:08+00:00,cs.LG
Equation Embeddings,2018-03-24 15:04:17+00:00,stat.ML
Bernoulli Embeddings for Graphs,2018-03-25 07:19:47+00:00,cs.LG
Embeddings from noncompact symmetric spaces to their compact duals,2018-11-07 07:06:40+00:00,math.AG
Tutorial on NLP-Inspired Network Embedding,2019-10-16 08:25:07+00:00,cs.SI
Exploring Multilingual Syntactic Sentence Representations,2019-10-25 14:38:18+00:00,cs.CL
Contextual Embeddings: When Are They Worth It?,2020-05-18 22:20:17+00:00,cs.CL
A Survey of Embedding Space Alignment Methods for Language and Knowledge Graphs,2020-10-26 16:08:13+00:00,cs.CL
Benchmarking Embedded Chain Breaking in Quantum Annealing,2021-04-07 17:05:57+00:00,quant-ph
Embeddings and Attention in Predictive Modeling,2021-04-08 06:54:05+00:00,stat.AP
Analysis and Prediction of NLP Models Via Task Embeddings,2021-12-10 16:23:24+00:00,cs.CL
Word Tour: One-dimensional Word Embeddings via the Traveling Salesman Problem,2022-05-04 08:46:02+00:00,cs.CL
Coarse embeddings at infinity and generalized expanders at infinity,2022-06-22 14:57:15+00:00,math.OA
Neural Embeddings for Text,2022-08-17 16:26:13+00:00,cs.CL
A semidefinite program for least distortion embeddings of flat tori into Hilbert spaces,2022-10-21 13:26:48+00:00,math.OC
Matchertext: Towards Verbatim Interlanguage Embedding,2022-12-29 00:10:31+00:00,cs.PL
Rotating embedded black holes: Entropy and Hawking's radiation,2004-12-23 11:32:56+00:00,gr-qc
On the Isomorphic Embedding of Rectangular Grids in n-cubes,2002-08-03 18:01:39+00:00,math.CO
On embeddings in the sphere,2003-10-16 02:08:32+00:00,math.AT
Embeddings of generalized Danielewski surfaces in affine spaces,2004-03-12 12:30:21+00:00,math.AG
Embedding Riemann Surfaces Properly into $\CC^2$,2006-02-20 20:42:32+00:00,math.CV
Embedding Some Riemann Surfaces into \C^2 with Interpolation,2007-02-02 13:27:54+00:00,math.CV
Planar Embeddings with a Globally Attracting Fixed Point,2007-03-15 19:06:33+00:00,math.DS
Geometrical embeddings for distributions into algebras of generalized functions,2007-09-13 10:46:59+00:00,math.AP
Least Area Planes in Hyperbolic 3-Space are Properly Embedded,2007-12-05 07:27:20+00:00,math.GT
Embeddings into the countable atomless Boolean algebra,2010-06-23 11:36:18+00:00,math.RA
On diffeomorphisms over non-orientable surfaces standardly embedded in the 4-sphere,2011-09-08 09:12:45+00:00,math.GT
Segre embeddings and the canonical image of a curve,2012-01-10 15:39:54+00:00,math.AG
On embeddings of Mori dream spaces,2012-02-14 04:08:05+00:00,math.AG
Some optimal embeddings of symplectic ellipsoids,2014-09-17 19:43:03+00:00,math.SG
Isotopies vis-à-vis level-preserving embeddings,2017-08-31 13:33:43+00:00,math.GT
Self-embeddings of trees,2017-09-18 12:21:39+00:00,math.CO
FPT algorithms for embedding into low complexity graphic metrics,2018-01-10 07:19:58+00:00,cs.CG
New embeddings between the Higman-Thompson groups,2019-02-25 16:26:15+00:00,math.GR
Iteratively Learning Embeddings and Rules for Knowledge Graph Reasoning,2019-03-21 12:26:44+00:00,cs.AI
HUSE: Hierarchical Universal Semantic Embeddings,2019-11-14 07:45:32+00:00,cs.CV
Beyond Node Embedding: A Direct Unsupervised Edge Representation Framework for Homogeneous Networks,2019-12-11 07:04:27+00:00,cs.SI
Supervised Speaker Embedding De-Mixing in Two-Speaker Environment,2020-01-14 20:13:43+00:00,cs.SD
Embeddings of $4$--manifolds in $\CP^3$,2020-02-26 04:32:03+00:00,math.GT
A Survey on Dynamic Network Embedding,2020-06-15 02:30:05+00:00,cs.SI
Evaluating Node Embeddings of Complex Networks,2021-02-16 16:55:29+00:00,cs.SI
Remarks on holomorphic isometric embeddings between bounded symmetric domains,2018-03-27 22:35:17+00:00,math.CV
Limit theorems for out-of-sample extensions of the adjacency and Laplacian spectral embeddings,2019-09-29 04:02:10+00:00,stat.ML
A Toroidal Maxwell-Cremona-Delaunay Correspondence,2020-03-23 02:38:58+00:00,math.MG
All Word Embeddings from One Embedding,2020-04-25 07:38:08+00:00,cs.CL
Evaluating Bias In Dutch Word Embeddings,2020-10-31 11:14:16+00:00,cs.CL
Zero-Shot Audio Classification via Semantic Embeddings,2020-11-24 14:42:22+00:00,eess.AS
A note on cardinal preserving embeddings,2021-02-26 22:28:03+00:00,math.LO
Holomorphic isometric embeddings of the complex two-plane Grassmannian into quadrics,2021-10-25 11:32:35+00:00,math.DG
Specialized Document Embeddings for Aspect-based Similarity of Research Papers,2022-03-28 07:35:26+00:00,cs.IR
Query2Particles: Knowledge Graph Reasoning with Particle Embeddings,2022-04-27 11:16:08+00:00,cs.CL
Proper harmonic embeddings of open Riemann surfaces into $\mathbb{R}^4$,2022-06-07 20:39:34+00:00,math.DG
Subsampling for Knowledge Graph Embedding Explained,2022-09-13 09:17:46+00:00,cs.AI
Lifelong Embedding Learning and Transfer for Growing Knowledge Graphs,2022-11-29 00:43:44+00:00,cs.CL
Selecting embedding delays: An overview of embedding techniques and a new method using persistent homology,2023-02-07 13:04:34+00:00,math.DS
Poincare ball embeddings of the optical geometry,2002-06-10 08:16:06+00:00,gr-qc
Embedded Monopoles,2001-06-27 14:04:50+00:00,hep-th
AdS2 Models in an Embedding Superspace,2001-08-13 15:05:14+00:00,hep-th
A W(E_6)-equivariant projective embedding of the moduli space of cubic surfaces,2000-02-13 10:36:35+00:00,math.AG
Unlinked Embedded Graphs,2000-09-01 17:50:32+00:00,math.QA
Irreducibility of spatial graphs,2001-07-02 12:44:14+00:00,math.GT
"Embedding, compression and fiberwise homotopy theory",2002-05-26 19:09:57+00:00,math.AT
On diffeomorphisms over surfaces trivially embedded in the 4-sphere,2002-11-01 15:51:10+00:00,math.GT
Convergence of formal embeddings between real-analytic hypersurfaces in codimension one,2003-01-08 11:25:23+00:00,math.CV
"Skorokhod embeddings, minimality and non-centred target distributions",2003-10-27 14:17:03+00:00,math.PR
"Invariants of Knots, Embeddings and Immersions via Contact Geometry",2004-12-28 20:58:02+00:00,math.GT
Embedding Dimensions of Finite von Neumann Algebras,2006-04-06 15:16:36+00:00,math.OA
Classification of embeddings below the metastable dimension,2006-07-18 15:02:10+00:00,math.GT
Continuous families of embedded solitons in the third-order NLS equation,2003-03-24 23:14:14+00:00,nlin.PS
Multiple disjunction for spaces of Poincare embeddings,2008-01-25 16:45:54+00:00,math.AT
Embedding odometers in cellular automata,2009-08-04 15:48:08+00:00,math.DS
Non-properly Embedded Minimal Planes in Hyperbolic 3-Space,2011-01-20 08:54:12+00:00,math.DG
Coarse embedding into uniformly convex Banach space,2011-05-17 02:25:06+00:00,math.MG
The geometry of embedded pseudo-Riemannian surfaces in terms of Poisson brackets,2011-07-04 18:31:05+00:00,math.DG
On embedded products of Grassmannians,2013-03-30 12:36:10+00:00,math.AG
Gradient Flows of Penalty Functions in the Space of Smooth Embeddings,2015-04-08 14:47:33+00:00,math.DG
On the local genus distribution of graph embeddings,2016-01-11 19:56:33+00:00,math.CO
On the isometric embedding problem for length metric spaces,2016-01-28 20:50:17+00:00,math.MG
Near-Optimal Sample Complexity Bounds for Circulant Binary Embedding,2016-03-10 08:12:44+00:00,cs.DS
Jawerth-Franke embeddings of Herz-type Besov and Triebel-Lizorkin spaces,2016-06-27 10:18:36+00:00,math.FA
PixelSNE: Visualizing Fast with Just Enough Precision via Pixel-Aligned Stochastic Neighbor Embedding,2016-11-08 15:50:27+00:00,cs.LG
Identity-sensitive Word Embedding through Heterogeneous Networks,2016-11-29 21:12:04+00:00,cs.CL
Improved Abusive Comment Moderation with User Embeddings,2017-08-11 20:37:27+00:00,cs.CL
Deep Metric Learning with BIER: Boosting Independent Embeddings Robustly,2018-01-15 14:22:30+00:00,cs.CV
Learning Domain-Sensitive and Sentiment-Aware Word Embeddings,2018-05-10 03:39:32+00:00,cs.CL
Evaluating Word Embeddings in Multi-label Classification Using Fine-grained Name Typing,2018-07-18 23:38:08+00:00,cs.CL
Delta Embedding Learning,2018-12-11 00:19:32+00:00,cs.CL
SECNLP: A Survey of Embeddings in Clinical Natural Language Processing,2019-03-04 01:37:52+00:00,cs.CL
HEAT: Hyperbolic Embedding of Attributed Networks,2019-03-07 16:50:26+00:00,cs.SI
Interaction Embeddings for Prediction and Explanation in Knowledge Graphs,2019-03-12 07:12:46+00:00,cs.AI
Improved Embeddings with Easy Positive Triplet Mining,2019-04-08 21:41:28+00:00,cs.CV
Learning Embeddings into Entropic Wasserstein Spaces,2019-05-08 20:48:28+00:00,cs.LG
Global Textual Relation Embedding for Relational Understanding,2019-06-03 03:47:37+00:00,cs.CL
Interpretable ICD Code Embeddings with Self- and Mutual-Attention Mechanisms,2019-06-13 05:50:19+00:00,stat.AP
Parallel Computation of Graph Embeddings,2019-09-06 15:41:44+00:00,cs.LG
Composing Knowledge Graph Embeddings via Word Embeddings,2019-09-09 12:22:28+00:00,cs.AI
CR regular embeddings of $S^{4n-1}$ in $\mathbb{C}^{2n+1}$,2019-09-26 12:44:16+00:00,math.GT
Incremental Sense Weight Training for the Interpretation of Contextualized Word Embeddings,2019-11-05 05:14:54+00:00,cs.CL
Improving BERT Fine-tuning with Embedding Normalization,2019-11-10 12:17:35+00:00,cs.CL
Med2Meta: Learning Representations of Medical Concepts with Meta-Embeddings,2019-12-06 22:11:37+00:00,cs.CL
Conformal and isometric embeddings of gravitational instantons,2019-12-31 19:00:24+00:00,hep-th
Multiplex Word Embeddings for Selectional Preference Acquisition,2020-01-09 04:47:14+00:00,cs.CL
Symmetry and compact embeddings for critical exponents in metric-measure spaces,2020-01-31 22:15:26+00:00,math.DG
Supervised Phrase-boundary Embeddings,2020-02-15 21:05:07+00:00,cs.CL
Embedding calculus for surfaces,2021-01-19 22:34:40+00:00,math.AT
Debiasing Pre-trained Contextualised Embeddings,2021-01-23 15:28:48+00:00,cs.CL
Dictionary-based Debiasing of Pre-trained Word Embeddings,2021-01-23 15:44:23+00:00,cs.CL
Spanish Biomedical and Clinical Language Embeddings,2021-02-25 13:30:04+00:00,cs.CL
Second-Order Word Embeddings from Nearest Neighbor Topological Features,2017-05-23 19:12:05+00:00,cs.CL
Improving Word Embedding Factorization for Compression Using Distilled Nonlinear Neural Decomposition,2019-10-02 16:40:03+00:00,cs.CL
Invariant metric under deformed Markov embeddings with overlapped supports,2019-10-27 10:03:18+00:00,math.DG
Conversational Word Embedding for Retrieval-Based Dialog System,2020-04-28 02:43:36+00:00,cs.CL
Families of embeddings of the alternating group of rank 5 into the Cremona group,2020-05-15 04:32:35+00:00,math.AG
Quasi-isometric embedding between $*$-algebras,2020-05-16 20:09:46+00:00,math.FA
RPD: A Distance Function Between Word Embeddings,2020-05-16 21:53:31+00:00,cs.CL
NagE: Non-Abelian Group Embedding for Knowledge Graphs,2020-05-22 00:54:45+00:00,cs.AI
Embedding Cosmology and Gravity,2020-08-20 20:07:18+00:00,gr-qc
On the genera of polyhedral embeddings of cubic graph,2020-08-21 13:29:46+00:00,math.CO
Wavelet decomposition and embeddings of generalised Besov-Morrey spaces,2020-09-07 17:34:48+00:00,math.FA
"More Embeddings, Better Sequence Labelers?",2020-09-17 14:28:27+00:00,cs.CL
Improve Transformer Models with Better Relative Position Embeddings,2020-09-28 22:18:58+00:00,cs.CL
Word Embeddings for Chemical Patent Natural Language Processing,2020-10-24 15:03:20+00:00,cs.CL
Improving Word Recognition using Multiple Hypotheses and Deep Embeddings,2020-10-27 16:21:23+00:00,cs.CV
Lex2vec: making Explainable Word Embeddings via Lexical Resources,2021-03-03 09:11:18+00:00,cs.CL
"A Comparison of Word2Vec, HMM2Vec, and PCA2Vec for Malware Classification",2021-03-07 14:41:18+00:00,cs.CR
Crosslingual Embeddings are Essential in UNMT for Distant Languages: An English to IndoAryan Case Study,2021-06-09 11:31:27+00:00,cs.CL
Modelling Monotonic and Non-Monotonic Attribute Dependencies with Embeddings: A Theoretical Analysis,2021-06-28 07:29:11+00:00,cs.AI
Learning Mathematical Properties of Integers,2021-09-15 11:54:28+00:00,cs.CL
Embeddings of anisotropic Besov spaces into Sobolev spaces,2021-09-16 09:38:34+00:00,math.FA
Embedding in MDS codes and Latin cubes,2021-09-30 09:50:34+00:00,math.CO
Human-in-the-Loop Refinement of Word Embeddings,2021-10-06 16:10:32+00:00,cs.CL
Accent-Robust Automatic Speech Recognition Using Supervised and Unsupervised Wav2vec Embeddings,2021-10-07 14:51:46+00:00,eess.AS
Survey of Control-Flow Integrity Techniques for Embedded and Real-Time Embedded Systems,2021-11-22 18:03:27+00:00,cs.CR
Isometric Hamming embeddings of weighted graphs,2021-12-13 20:01:42+00:00,cs.DM
Optimal embedding of hypercube into cylinder,2022-01-12 03:32:38+00:00,math.CO
On Embeddings for Numerical Features in Tabular Deep Learning,2022-03-10 18:59:21+00:00,cs.LG
Learning Backward Compatible Embeddings,2022-06-07 06:30:34+00:00,stat.ML
Embeddings among quantum affine $\mathfrak{sl}_n$,2022-08-16 15:33:17+00:00,math.QA
Repurposing Knowledge Graph Embeddings for Triple Representation via Weak Supervision,2022-08-22 14:07:08+00:00,cs.CL
Silhouette: Toward Performance-Conscious and Transferable CPU Embeddings,2022-12-15 18:52:27+00:00,cs.LG
G-CEALS: Gaussian Cluster Embedding in Autoencoder Latent Space for Tabular Data Representation,2023-01-02 18:45:53+00:00,cs.LG
Entity-Agnostic Representation Learning for Parameter-Efficient Knowledge Graph Embedding,2023-02-03 16:49:46+00:00,cs.CL
Embedding tensors on Hom-Lie algebras,2023-04-09 07:09:54+00:00,math.RA
Pretrained Embeddings for E-commerce Machine Learning: When it Fails and Why?,2023-04-09 23:55:47+00:00,cs.LG
Graph Embedding Augmented Skill Rating System,2023-04-17 13:17:40+00:00,cs.LG
